,Date,Open,High,Low,Close,Adj Close,Volume,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,DaysSincePeak,DaysSincePeakTrough
19,2022-12-09,136.613998,136.865997,135.612,136.613998,136.613998,0,Hold,136.2015992,138.4917496,36.68300663162122,0.0,0.0
20,2022-12-12,136.712006,137.617996,136.632996,136.712006,136.712006,0,Hold,136.6489992,138.34970019999997,27.400188871613295,0.0,0.0
21,2022-12-13,137.503998,137.942001,134.688004,137.503998,137.503998,0,Sell,136.81940020000002,138.21914984999998,34.4836534420057,0.0,0.0
22,2022-12-14,135.584,135.682007,134.681,135.584,135.584,0,Hold,136.5589998,138.05010005,34.35808087625908,1.0,0.0
23,2022-12-15,135.348007,137.921005,135.283005,135.348007,135.348007,0,Buy,136.3524018,137.8514001,35.684805810605695,2.0,0.0
24,2022-12-16,137.751007,137.751007,136.410004,137.751007,137.751007,0,Sell,136.5798036,137.7183503,44.91902256836997,0.0,1.0
25,2022-12-19,136.029999,137.149994,135.772995,136.690002,136.690002,0,Buy,136.57540279999998,137.5402001,42.73022664010879,3.0,0.0
26,2022-12-20,136.994995,137.451996,131.016998,136.994995,136.994995,0,Sell,136.47360220000002,137.28504949999999,43.852738306503134,0.0,1.0
27,2022-12-21,131.891998,132.475998,131.522003,131.891998,131.891998,0,Buy,135.7352018,136.82189945,34.772426858572985,1.0,0.0
28,2022-12-22,132.369995,132.681,131.654999,132.369995,132.369995,0,Sell,135.13959939999998,136.4764992,41.430321739746354,0.0,1.0
29,2022-12-23,132.356995,133.121002,132.291,132.356995,132.356995,0,Buy,134.060797,136.1641991,43.1931705808946,1.0,0.0
30,2022-12-26,132.770004,133.237,132.330002,132.789993,132.789993,0,Sell,133.2807952,135.84869845,36.02142348962593,0.0,3.0
31,2022-12-27,132.764008,133.587006,132.647995,132.764008,132.764008,0,Buy,132.4345978,135.55094915,34.8522619332157,1.0,0.0
32,2022-12-28,133.485992,134.395004,133.410995,133.485992,133.485992,0,Hold,132.75339660000003,135.28799899999999,39.52826715511034,2.0,1.0
