Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,144.397995,144.908997,144.022995,144.397995,144.397995,0
2023-07-04,144.584000,144.673004,144.210007,144.584000,144.584000,0
2023-07-05,144.406006,144.725006,144.089996,144.406006,144.406006,0
2023-07-06,144.488998,144.641998,143.582993,144.488998,144.488998,0
2023-07-07,143.951004,144.192993,142.110001,143.951004,143.951004,0
2023-07-10,142.209000,142.998993,141.528000,142.209000,142.209000,0
2023-07-11,141.296997,141.440994,140.164993,141.296997,141.296997,0
2023-07-12,140.117996,140.074005,138.205002,140.117996,140.117996,0
2023-07-13,138.315002,138.936996,138.056000,138.315002,138.315002,0
2023-07-14,138.074997,139.100998,137.315002,138.074997,138.074997,0
2023-07-17,138.682007,139.393997,138.014999,138.682007,138.682007,0
2023-07-18,138.729004,138.955994,137.828003,138.729004,138.729004,0
2023-07-19,139.026993,139.990005,138.876007,139.026993,139.026993,0
2023-07-20,139.598007,140.403000,139.123001,139.598007,139.598007,0
2023-07-21,139.863998,141.936996,139.751999,139.863998,139.863998,0
2023-07-24,141.750000,141.770996,140.886002,141.750000,141.750000,0
2023-07-25,141.522003,141.690002,140.914993,141.522003,141.522003,0
2023-07-26,140.912994,141.179001,140.188995,140.912994,140.912994,0
2023-07-27,140.367004,141.281006,139.397995,140.367004,140.367004,0
2023-07-28,138.863998,140.957001,138.089996,138.863998,138.863998,0
2023-07-31,140.757996,142.647995,140.701004,140.757996,140.757996,0
2023-08-01,142.322998,143.453003,142.289993,142.322998,142.322998,0
2023-08-02,142.970001,143.460007,142.257004,142.970001,142.970001,0
2023-08-03,143.343994,143.878006,142.093002,143.343994,143.343994,0
2023-08-04,142.598007,142.867004,141.557007,142.598007,142.598007,0
2023-08-07,141.876007,142.488007,141.522995,141.876007,141.876007,0
2023-08-08,142.524002,143.419006,142.572998,142.524002,142.524002,0
2023-08-09,143.278000,143.712006,143.014008,143.278000,143.278000,0
2023-08-10,143.727005,144.483002,143.339005,143.727005,143.727005,0
2023-08-11,144.854004,144.962997,144.436996,144.854004,144.854004,0
2023-08-14,144.817001,145.565994,144.751007,144.817001,144.817001,0
2023-08-15,145.436996,145.858002,145.106995,145.436996,145.436996,0
2023-08-16,145.608002,145.882996,145.319000,145.608002,145.608002,0
2023-08-17,146.332993,146.524994,145.638000,146.332993,146.332993,0
2023-08-18,145.714005,145.774002,145.134003,145.714005,145.714005,0
2023-08-21,145.304993,146.382996,145.149002,145.304993,145.304993,0
2023-08-22,146.238007,146.389999,145.501999,146.238007,146.238007,0
2023-08-23,145.763000,145.813004,144.580002,145.763000,145.763000,0
2023-08-24,144.673004,145.947006,144.621002,144.673004,144.673004,0
2023-08-25,146.067001,146.604996,145.733994,146.067001,146.067001,0
2023-08-28,146.531006,146.716003,146.278000,146.531006,146.531006,0
2023-08-29,146.464005,147.343994,145.852005,146.464005,146.464005,0
2023-08-30,145.988007,146.522995,145.557999,145.988007,145.988007,0
2023-08-31,146.098999,146.190994,145.531006,146.098999,146.098999,0
2023-09-01,145.473007,146.227005,144.481995,145.473007,145.473007,0
2023-09-04,146.057007,146.490005,146.041000,146.057007,146.057007,0
2023-09-05,146.542999,147.716003,146.498001,146.542999,146.542999,0
2023-09-06,147.470993,147.796005,147.037003,147.470993,147.470993,0
2023-09-07,147.709000,147.865005,147.057007,147.709000,147.709000,0
2023-09-08,147.330994,147.742004,146.686996,147.330994,147.330994,0
2023-09-11,147.113007,147.100006,145.912994,147.113007,147.113007,0
2023-09-12,146.677994,147.218994,146.473007,146.677994,146.677994,0
2023-09-13,147.158005,147.615005,147.112000,147.158005,147.158005,0
2023-09-14,147.345993,147.537003,147.026993,147.345993,147.345993,0
2023-09-15,147.481995,147.949005,147.341003,147.481995,147.481995,0
2023-09-18,147.867996,147.860992,147.559998,147.867996,147.867996,0
