Unnamed: 0.1,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,KalmanFilterEst,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,CPI_Difference_Change,Interest_Rate_Difference_Change,Currency_Account_difference,FDI_Difference_Change,M2_Difference_Change
0,2003-11-25,0.0182887849362378,-0.0091374173403508,64.25996160509416,54.44408261606311,109.31029320558808,109.12799987792968,109.08750038146972,46.47239784270569,0.5698244237874341,0,4,0.0,0.3300018310547017,False,False,14.515111130423008,-2024.918388330548,26.800079345701988,1940.017700195113,6.25,150.00152587887783,-0.0092592592592592,0.0290000000000001,1.3834677263828938,-0.0002465753424657,-1.9273737694808224e-05
1,2003-11-26,-0.3199254746247049,-0.0182854407513144,51.624622316969294,59.80745625028063,109.14942504358402,109.11600036621094,109.12900047302246,41.46344867369422,0.5428386633945789,1,0,0.009994506835909,0.0,False,False,-16.086816200404996,-3060.1927330828003,-1.1999511718741471,-2800.0030517576133,4.1500091552734375,-209.99908447265625,-0.0092592592592592,0.0409999999999997,1.379783989598525,-0.0002465753424658,-1.9273737694822105e-05
2,2003-11-28,0.3111310130702316,-0.0182985388815546,83.33354526149866,68.0416149471809,109.47108233608898,109.34600067138672,109.14400062561036,57.82072941807462,0.5018669620535281,0,2,0.0,-0.1199951171874715,False,False,24.095828579636706,1602.5927908776794,17.40005493164034,1180.007934570284,-1.8999862670909808,-529.998779297074,-0.0092592592592592,0.02,1.3724165160297883,-0.0002465753424657,-1.9273737694808224e-05
3,2003-12-01,-0.4105131968268893,0.1915700412433857,64.5833068423131,72.36117645562884,109.28500208731975,109.3040008544922,109.06250038146972,53.27869365048206,0.503963558121786,3,5,0.5699996948241903,0.4500045776367187,False,False,-18.60802487692297,-4270.385345655967,-4.199981689453125,-2160.003662109347,-8.150024414061363,-625.0038146970383,0.0021694019996227,-0.03,1.3613653056766828,-0.0002465753424657,1.2757265917914816e-05
4,2003-12-02,-0.4030363830645367,0.0091619825943166,46.25014305151094,64.72233171844091,108.94199400822806,109.17000122070311,109.02150039672853,50.38761982266718,0.4830462545448509,4,6,-0.0800018310547017,-0.1999969482421733,True,False,-34.300807909168896,-1569.2783032245927,-13.399963378905966,-919.998168945284,-4.099998474121946,405.0025939939417,0.0021694019996226,0.0110000000000001,1.3576815688923145,-0.0002465753424657,1.2757265917914816e-05
5,2003-12-03,-0.3954752983536758,0.0,28.33341810459825,46.38895599947411,108.5452217766594,109.02000122070312,108.94350051879884,52.16696465747372,0.4741226492477352,5,7,-0.5299987792968892,-0.6499938964843608,False,False,-39.67722315686757,-537.6415247698674,-15.000000000000568,-160.0036621094603,-7.799987792968466,-369.998931884652,0.0021694019996227,-0.0090000000000001,1.3539978321079458,-0.0002465753424657,1.2757265917914816e-05
6,2003-12-04,-0.0277067477800985,0.0,27.08314789618868,33.88890301743263,108.3751232895407,108.81800079345705,108.84850044250489,49.74952969152616,0.4812901049767984,6,8,-0.9599990844726848,-1.0799942016601562,True,True,-17.009848711869324,2266.7374444998245,-20.20004272460909,-520.0042724608522,-9.500007629394249,-170.00198364257812,0.0021694019996227,-0.0799999999999998,1.3503140953235773,-0.0002465753424657,1.2757265917928697e-05
7,2003-12-05,-0.6003453557195448,-0.0184692377264304,5.138535396790113,20.18503379919236,107.90843312838898,108.41800079345704,108.76300048828124,38.27995337455522,0.4753283101179242,7,9,-1.010002136230483,-1.1299972534179543,False,False,-46.66901611517176,-2965.916740330244,-40.00000000000057,-1979.995727539148,-8.549995422363565,95.00122070306816,0.0021694019996226,0.03,1.3466303585392088,-0.0002465753424657,1.2757265917914816e-05
8,2003-12-08,-0.1951301608560274,-0.0743373248587308,10.921750542259812,14.38114461174621,107.60038677723372,108.06600189208984,108.69700050354004,43.73801935719065,0.4865867467785882,10,12,-1.7200012207031392,-1.8399963378906108,False,True,-30.80463511552693,1586.4380999644825,-35.19989013671818,480.0109863282387,-6.599998474121094,194.9996948242472,0.0021694019996227,0.02,1.3355791481861032,-0.0002465753424657,1.2757265917914816e-05
9,2003-12-09,-0.2979306519953484,0.0093050055815959,8.72270589269843,8.26099727724946,107.28494813818668,107.73800048828124,108.61300048828124,27.35424628195902,0.5202003298427268,11,0,-1.840003967285156,0.0,False,True,-31.54386390470165,-73.92287891747173,-32.80014038085994,239.9749755858238,-8.400001525879475,-180.0003051758381,0.0021694019996227,-0.02,1.3318954114017347,-0.0002465753424657,1.2757265917914816e-05
10,2003-12-10,1.2045951626117546,0.0,48.909661763411975,22.85137273279008,107.96172571075012,107.75399932861328,108.59800033569336,44.50352859057925,0.5174759693011837,0,1,0.0,-0.3300018310547017,False,False,67.67775725634237,9922.162116104402,1.599884033203125,3440.002441406307,-1.5000152587887785,689.9986267090696,0.0021694019996226,-0.06,1.3282116746173662,-0.0002465753424657,1.2757265917914816e-05
11,2003-12-11,-0.3690661622264835,0.0,36.44878916007682,31.36038560539575,107.97302191732584,107.69600067138671,108.5955005645752,43.35063453097682,0.5128793212135124,1,2,1.2900009155273295,0.9599990844726278,False,False,1.1296206575735823,-6654.81365987688,-5.79986572265625,-739.9749755859375,-0.2499771118166904,125.00381469720878,0.0021694019996227,0.01,1.3245279378329975,-0.0002465753424657,1.2757265917914816e-05
12,2003-12-12,-0.2778320452224259,0.0,27.10289703166524,37.48711598505136,107.7919246015788,107.70800018310548,108.56450042724607,34.43228152151764,0.4816431210185661,2,0,0.8900070190429688,0.0,False,False,-18.10973157470385,-1923.935223227744,1.1999511718755684,699.9816894531818,-3.100013732910156,-285.0036621093466,0.0021694019996227,0.02,1.3208442010486292,-0.0002465753424657,1.2757265917928697e-05
13,2003-12-15,0.0557183863518773,0.3807541154837243,29.245289809000614,30.932325333580906,107.75983211268776,107.7739990234375,108.50100021362304,34.909057617187415,0.5141372703706912,0,3,0.0,0.1099929809570312,False,False,-3.209248889105254,1490.0482685598604,6.599884033202841,539.9932861327272,-6.350021362304403,-325.0007629394247,0.0021694019996227,-0.0189999999999999,1.309792990695524,-0.0002465753424657,1.2757265917914816e-05
14,2003-12-16,-0.2134729275100277,-0.009276505507788,22.012720454692875,26.120302431786254,107.60542869582858,107.85800018310547,108.47350044250489,35.68771652672365,0.5344861186480445,1,4,-0.3599929809570312,-0.25,False,False,-15.440341685918211,-1223.109279681296,8.400115966797728,180.0231933594887,-2.749977111815838,360.00442504885655,0.0021694019996227,-0.02,1.3061092539111554,-0.0002465753424657,1.2757265917914816e-05
15,2003-12-17,-0.1209235236064754,0.0185997978504859,17.92451698499719,23.06084241623024,107.4661044022859,107.65800018310549,108.3870002746582,32.00758314657216,0.534950189985352,2,0,-0.55999755859375,0.0,False,False,-13.93242935426855,150.79123316496634,-20.000000000000284,-2840.011596679801,-8.650016784667969,-590.0039672852131,0.0021694019996227,-0.0190000000000001,1.302425517126787,-0.0002465753424657,1.2757265917914816e-05
16,2003-12-18,0.2514474570377789,-0.0093076057846434,26.4152165620222,22.11748466723743,107.57975907509972,107.59199981689451,108.31950035095215,31.09406255216811,0.5600809462320564,3,1,-0.7199935913085795,-0.1599960327148295,False,False,11.36546728138228,2529.789663565083,-6.600036621094318,1339.9963378905966,-6.7499923706051845,190.0024414062784,0.0021694019996227,0.0110000000000001,1.2987417803424184,-0.0002465753424657,1.2757265917914816e-05
17,2003-12-19,0.0557339133704815,-0.0092913479690608,30.30306922452469,24.88093425718137,107.6602518275873,107.5979995727539,108.2675003051758,34.85478032249212,0.577665617378215,0,2,0.0,0.1100006103515625,False,False,8.049275248758647,-331.61920326236327,0.5999755859377842,720.0012207032103,-5.200004577636719,154.99877929684658,0.0021694019996227,0.02,1.29505804355805,-0.0002465753424657,1.2757265917914816e-05
18,2003-12-22,-0.2042532936339602,0.1671156872210296,34.34339152984395,30.35389243879696,107.55502909122852,107.54799957275392,108.17300033569336,36.52169730583198,0.5583404072520802,3,5,0.25,0.3600006103515625,False,False,-10.52227363587832,-1857.1548884636968,-4.999999999999716,-559.99755859375,-9.449996948242756,-424.9992370606037,0.0021694019996227,0.0089999999999998,1.2840068332049444,-0.0002465753424657,1.2757265917914816e-05
19,2003-12-24,-0.1582408716954142,-0.0186136488965855,24.324491512842272,30.72714481742109,107.34317711278962,107.50800018310548,107.98500022888184,38.44398586552702,0.5965531583135535,5,7,-0.2299957275390625,-0.1199951171875,False,False,-13.457993908616572,-573.0789973343065,-2.399902343749716,-79.98657226551131,-8.950004577637571,90.00015258777694,0.0021694019996227,-0.01,1.2766393596362071,-0.0002465753424657,1.2757265917914816e-05
20,2003-12-26,0.1958216044907645,-0.0186466276246987,34.59444746869923,27.38737401230568,107.38483808513588,107.3739990234375,107.77449989318848,50.53466881540583,0.5133572818561252,0,1,0.0,-0.0499954223632812,False,False,10.54292551743572,1691.975380024644,-5.200042724608522,300.00305175789777,-10.850028991698936,-65.00244140625,0.0021694019996227,0.04,1.2692718860674703,-0.0002465753424657,1.2757265917914816e-05
21,2003-12-29,-0.372260500553645,-0.1209839526385483,12.02191259974476,23.2865143746065,107.177898653884,107.28600006103515,107.6685001373291,49.47652658110524,0.5331552996840317,3,4,0.0999984741210937,0.0500030517578125,False,False,-20.6939431251854,-3123.686864262112,-8.799896240235228,-359.98535156267053,-10.599975585937216,25.005340576171875,0.0021694019996227,-0.03,1.2582206757143648,-0.0002465753424657,1.2757265917914816e-05
22,2003-12-30,-0.0840765667625698,0.0186797220890804,8.175946718873705,18.26410226243924,107.04322931385384,107.19199981689454,107.57999992370604,22.90074779853772,0.5398570014589225,4,0,-0.1500015258789062,0.0,False,False,-13.466934003018594,722.7009122166805,-9.400024414061647,-60.01281738264197,-8.850021362304972,174.9954223632244,0.0021694019996227,0.07,1.2545369389299963,-0.0002465753424657,1.2757265917914816e-05
23,2004-01-05,-0.6267007533340085,0.0187041833144126,11.219328835080509,21.10823243232616,106.55079583656176,106.96200103759766,107.39249992370604,30.34055800682181,0.587252313543594,5,6,-0.029998779296875,-0.1399993896484375,True,False,-50.28816836123866,-2704.1249796879183,-16.200103759764772,-540.0238037107385,-5.850028991699219,-230.0033569335369,0.0016977928692699,-0.05,1.2881798641712168,-0.002103825136612,4.988665242482149e-05
24,2004-01-06,-0.0094074802681531,0.0,12.019264274893638,12.257503215060416,106.3525351808162,106.81600189208984,107.3495002746582,31.511355775034147,0.6110764715471437,6,7,-0.7200012207031392,-0.8300018310547017,False,True,-19.826065574555685,3046.2102786682976,-14.599914550781534,160.0189208983238,-4.299964904785725,155.0064086913494,0.0016977928692699,-0.01,1.2956451965763345,-0.002103825136612,4.9886652424835365e-05
25,2004-01-07,-0.0470705546245731,-0.0094155473165726,10.837505073738406,11.358699394570856,106.24590276342568,106.57200164794922,107.2395004272461,24.56744755780176,0.6227655729220977,7,8,-0.7399978637695312,-0.8499984741210938,True,False,-10.663241739051443,916.282383550424,-24.400024414062216,-980.0109863280682,-10.9999847412098,-670.0019836424076,0.0016977928692699,-0.0009999999999998,1.3031105289814524,-0.002103825136612,4.9886652424835365e-05
26,2004-01-08,-0.0094199813540307,0.0094199813540281,10.714244008392985,11.190337785675018,106.19899114413454,106.34600067138672,107.14900016784668,22.88734569974143,0.5832497390265633,8,0,-0.7699966430664205,0.0,False,True,-4.691161929113719,597.2079809937725,-22.600097656250284,179.99267578119316,-9.050025939941976,194.9958801267826,0.0016977928692699,-0.08,1.31057586138657,-0.002103825136612,4.988665242482149e-05
27,2004-01-09,0.3861765745318379,0.0094208687981122,27.555677625867425,16.369142235999615,106.43446869872812,106.28000030517578,107.09400024414064,34.98359557747848,0.5356697404197001,9,1,-0.779998779296875,-0.0100021362304545,False,False,23.54775545935865,2823.8917388472373,-6.600036621094318,1600.0061035155966,-5.4999923706049,355.00335693370744,0.0016977928692699,-0.032,1.3180411937916878,-0.0021038251366121,4.9886652424835365e-05
28,2004-01-13,-0.3377116468148644,0.0,12.44439019097159,22.81482837818245,106.35335539219616,106.35399932861328,106.97350006103515,33.96223699047512,0.5128566687214265,1,0,-0.0100021362304687,0.0,False,False,-18.341633387495904,-2857.1936121794297,0.19989013671875,-700.0122070313353,-6.350021362304403,-65.00244140610789,0.0016977928692699,0.008,1.347902523412159,-0.002103825136612,4.9886652424835365e-05
