Leverage,PnL,Interest Costs,Transaction Costs,% Returns per Period,% Returns per Annum
1,7824.498043845013,0.0,327,4.118156865181586,8.236313730363172
1.5,10557.612384173093,458.5161145460115,322,5.556638096933207,11.113276193866414
2,14025.85463878853,916.5054180125522,322,7.382028757257121,14.764057514514242
3,10739.411486194349,1961.6381740760162,334,5.652321834839131,11.304643669678262
4,21028.310686642682,2762.5246414723633,335,11.067531940338252,22.135063880676505
