Leverage,PnL,Interest Costs,Transaction Costs,% Returns per Period,% Returns per Annum
1,-1850.8520317397997,0.0,257,-0.974132648284105,-1.94826529656821
1.5,-4812.313344892615,287.77874017268994,308,-2.5327964973119026,-5.065592994623805
2,-3548.9760458129094,564.1363708712186,277,-1.8678821293752152,-3.7357642587504305
3,-5452.728023511235,1200.9058961835794,267,-2.8698568544795973,-5.7397137089591945
4,-6177.886098179761,1853.1981788844455,292,-3.2515189990419793,-6.5030379980839585
