,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,BBand_Upper,BBand_Middle,BBand_Lower,Bollinger_Bandwidth,Bollinger_PercentB,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,Interest_Rate_Difference,Interest_Rate_Difference_Change,Currency_Account_difference,DataAge,Weight
2944,2016-06-13,106.48200225830078,106.6259994506836,105.74500274658205,106.50399780273438,106.50399780273438,0,-0.5472019378050086,-0.5677412460371175,13.37437301114607,12.976183445340121,12.976183445340121,13.459039090490975,106.71502030699726,False,False,Hold,107.01319885253906,108.99369926452637,33.64113536244375,111.87414257316743,108.99369926452637,106.11325595588531,0.05285522609247828,0.06782668585715232,0.3237251961564928,3,4,-0.5960006713867188,-0.32199859619142046,False,False,-34.14415842884608,-3957.0145868913187,-4.340057373046591,3106.0028076171875,-10.785026550293253,-73.50158691409092,-0.8560000000000001,0.020000000000000018,0.08226949331904865,2393,1.0880910555452428e-52
2967,2016-07-15,105.16000366210938,106.30500030517578,105.1500015258789,105.19100189208984,105.19100189208984,0,1.0713378028976317,1.0415535768964133,82.0583269642405,79.03186339119758,79.03186339119758,63.920562923923434,104.70348915044156,False,False,Hold,103.44779968261719,103.02524948120117,65.48413936477257,105.91170137726677,103.02524948120117,100.13879758513558,0.056033873455308254,0.8751582373225623,0.6177578012303988,2,1,0.42800140380859375,1.1240005493164205,False,False,78.88121859355692,5277.918579984373,88.02001953124972,2950.0122070311363,2.2400283813482247,1111.0038757325924,-0.8200000000000001,1.5999999999999992,0.05877727776192915,2361,5.389350278809862e-52
2969,2016-07-20,106.13600158691406,106.78299713134766,105.85099792480467,106.13700103759766,106.13700103759766,0,-0.008481417322447893,-0.009422998398076884,90.33951793427786,90.24376697311885,90.24376697311885,85.56461633329207,105.99810405545857,False,True,Buy,105.40180053710938,103.25524978637695,67.53680661718505,106.71844888902348,103.25524978637695,99.79205068373042,0.06708034913113825,0.9160533607522757,0.62094486123043,1,0,-0.001998901367173289,0.0,False,False,22.474003803581866,-3782.03671379751,27.620086669922728,-4481.994628906136,7.335014343262003,-427.50167846676845,-0.908,-0.3300000000000003,0.09650865026571476,2356,6.920062737425029e-52
2971,2016-07-22,105.79499816894533,106.38400268554688,105.60199737548828,105.81099700927734,105.81099700927734,0,-1.2993967950480245,-1.3143205292153848,77.3551158660004,87.96824031931565,87.96824031931565,90.57808934226064,106.16713952001646,False,True,Buy,106.15140075683594,103.4286994934082,64.89197003224905,107.34926397127441,103.4286994934082,99.508135015542,0.07581192642021137,0.8038207290453391,0.6124197645816615,1,0,-1.370002746582017,0.0,False,False,-57.62506872146105,-13215.368389871144,12.399902343750568,-5016.021728515483,4.5749664306640625,-819.5037841797159,-0.8660000000000001,-0.14000000000000012,0.111601199267229,2354,7.647852088661164e-52
2974,2016-07-27,104.83300018310548,106.51000213623048,104.83300018310548,104.8489990234375,104.8489990234375,0,-0.6904884407933909,-0.7056420143485491,64.33402866702478,74.28711085409017,74.28711085409017,79.62609176568867,105.22773172366838,False,True,Buy,105.95359954833984,103.93434982299804,65.76320869983078,107.98240773910564,103.93434982299804,99.88629190689045,0.07789643987770177,0.6129738283634706,0.6149443936845589,2,0,-1.4309997558593608,0.0,False,False,-61.28023816246042,-1880.180163884404,-25.760040283203978,-1440.0024414064205,10.740013122558878,-809.0019226072798,-0.835,0.0,0.1493325717710146,2349,9.820036464909366e-52
2975,2016-07-28,104.93599700927734,105.14900207519533,104.52100372314452,104.95099639892578,104.95099639892578,0,0.0972802567867026,0.08297455068731423,63.417050211395,67.31750407655095,67.31750407655095,73.41069606146324,105.05669988708972,True,False,Sell,105.50299835205078,104.04299964904786,68.13068963041175,108.07770394630732,104.04299964904786,100.00829535178839,0.07755840010128716,0.612523332936031,0.577186812947932,0,1,0.0,0.10299682617186079,False,False,-17.10318365786634,4417.705450459408,-45.06011962890568,-1930.0079345701704,10.864982604981321,12.496948242244343,-0.835,-0.6199999999999994,0.15687884627177173,2348,1.0323520500917774e-51
2980,2016-08-04,101.31900024414062,101.66300201416016,100.86699676513672,101.33699798583984,101.33699798583984,0,0.266154658518003,0.24834710166724577,8.744015467193021,12.219333971818179,12.219333971818179,15.820092187843892,101.47499795555659,True,False,Sell,102.36820068359376,104.11655006408691,30.183030166082744,108.1474217418017,104.11655006408691,100.08567838637212,0.07742998928092913,0.15521699765162567,0.6731370973841446,0,1,0.0,0.240997314453125,False,False,-22.328864144814986,7965.3521131857015,-72.2799682617179,333.99963378911934,0.9349822998046875,129.99725341799717,-0.781,0.5000000000000004,0.20970276777707159,2341,1.464977293008954e-51
2981,2016-08-05,101.22699737548828,102.03099822998048,100.88800048828124,101.1989974975586,101.1989974975586,0,-0.1361797675322185,-0.10854930828613381,6.695314650227133,6.729973122694628,6.729973122694628,9.821199249945524,101.3044202916033,False,True,Buy,101.65899963378907,104.13699989318847,27.79861710291391,108.1037984068885,104.13699989318847,100.17020137948845,0.07618422880952407,0.12967587268637684,0.6638366481268904,1,0,-0.09200286865234375,0.0,False,False,-17.057766395329566,527.109774948542,-70.92010498046903,135.9863281248863,2.044982910156534,111.00006103518467,-0.8310000000000001,0.05999999999999894,0.2172490422778287,2340,1.5400882849875202e-51
2983,2016-08-09,102.28299713134766,102.51699829101562,101.8000030517578,102.28800201416016,102.28800201416016,0,0.1400023259029215,0.1351025432635495,22.862246163499854,16.765601881373808,16.765601881373808,11.851699995557729,102.11074038608065,True,False,Sell,101.6073989868164,104.19784965515137,30.729952880636944,107.97992557989807,104.19784965515137,100.41577373040468,0.07259412621783817,0.24751331292759146,0.668998161693433,0,4,0.0,1.055999755859375,False,False,28.681533913378132,-2326.894162097943,-1.4199829101556816,232.0098876954546,-1.1800003051746444,-844.4976806639204,-0.8130000000000001,0.0,0.2474341402808572,2336,1.8810680790939016e-51
2984,2016-08-10,101.9219970703125,101.9219970703125,100.96900177001952,101.91500091552734,101.91500091552734,0,-0.364657722595052,-0.35781805944062595,19.59367974739504,21.065056913763108,21.065056913763108,16.630061259247224,101.9897667403388,False,False,Hold,101.77679901123047,104.05579986572266,21.543086830447137,107.95494846224881,104.05579986572266,100.15665126919652,0.07494341692741294,0.22547866576531447,0.6869863088623813,1,5,-0.36100006103515625,0.6949996948242188,False,False,-12.097364574185576,-4077.889848756371,16.940002441405966,1835.9985351561647,-14.204978942871094,-1302.497863769645,-0.8130000000000001,0.10000000000000009,0.2549804147816143,2335,1.97751250186701e-51
