,Model,PnL,Standard Deviation,market_returns,excess_returns,mean_returns,sharpe_ratio
0,logreg_lev4,50488.67547331776,1819.1862984903717,-4204.564145806054,54693.239619123815,2878.5915589012534,1.5823511650730964
1,gbt_lev4,21028.310686642682,1456.6254427666172,-4204.564145806054,25232.874832448735,1328.0460438130913,0.9117278916196117
2,nn_lev4,-6177.886098179761,1037.9371813591126,-4204.564145806054,-1973.321952373707,-103.85905012493195,-0.1000629440684793
